gsa_par_id,gsa_hol_id,ua_grp_id,ranking,covered
186220_4868_00059,362812044,EPEZH,32,1
181510_4475_00048,28363620,7V1D1,33,1
181510_4475_00048,28363620,EPEZH,33,1
1218190_4674_00123,3628836364,5HZH1TH,34,1
1218190_4674_00123,3628836364,7V1D1,34,1
1218190_4674_00123,3628836364,EPEZH,34,1
171190_4473_00112,3624364364,7V1D1,35,1
171190_4473_00112,3624364364,EPEZH,35,1
2517160_5465_00009,2824200,7V1D1,36,1
2517160_5465_00009,2824200,EPEZH,36,1
186220_4867_00195,3243232,7V1D1,37,1
186220_4867_00195,3243232,EPEZH,37,1
171190_4669_00052,32202432,RTS5,38,1
171190_4669_00052,32202432,8AEAE,38,1
171190_4669_00052,32202432,7V1D1,38,1
171190_4669_00052,32202432,EPEZH,38,1
251170_5870_00051,1232820,7V1D1,39,1
251170_5870_00051,1232820,EPEZH,39,1
2519130_5668_00127,1228128,00N9,40,1
2519130_5668_00127,1228128,7V1D1,40,1
2519130_5668_00127,1228128,EPEZH,40,1
72510_4871_00022,40163632,7V1D1,41,1
72510_4871_00022,40163632,EPEZH,41,1
1323170_4873_00025,3216204,06IYG8X,42,1
1323170_4873_00025,3216204,EPEZH,42,1
122110_6067_00112,1601236,7V1D1,43,1
122110_6067_00112,1601236,EPEZH,43,1
623160_5466_00104,3216812,7V1D1,44,1
623160_5466_00104,3216812,EPEZH,44,1
186220_4668_00102,362812323616,5HZH1TH,45,1
186220_4668_00102,362812323616,7V1D1,45,1
186220_4668_00102,362812323616,EPEZH,45,1
18580_5465_00105,204016,7V1D1,46,1
18580_5465_00105,204016,EPEZH,46,1
01930_5071_00025,164160,7V1D1,47,1
01930_5071_00025,164160,EPEZH,47,1
186220_4867_00703,4842028,EPEZH,48,1
72510_4669_00097,48283220,7V1D1,49,1
72510_4669_00097,48283220,EPEZH,49,1
123130_4672_00122,2420328,06IYG8X,50,1
123130_4672_00122,2420328,EPEZH,50,1
186220_4667_00380,3212432,7V1D1,51,1
186220_4667_00380,3212432,EPEZH,51,1
186220_4667_00438,362408160,7V1D1,52,1
186220_4667_00438,362408160,EPEZH,52,1
186220_4668_00354,28202012,7V1D1,53,1
186220_4668_00354,28202012,EPEZH,53,1
72510_4869_00317,28282016,9SIS78,54,1
72510_4869_00317,28282016,7V1D1,54,1
72510_4869_00317,28282016,EPEZH,54,1
122110_5869_00143,36161224328,7V1D1,55,1
122110_5869_00143,36161224328,EPEZH,55,1
01930_5071_00117,4122840,00N9,56,1
01930_5071_00117,4122840,7V1D1,56,1
01930_5071_00117,4122840,EPEZH,56,1
01930_4871_00003,3220836,7V1D1,57,1
01930_4871_00003,3220836,EPEZH,57,1
122110_5867_00116,36201282024,06IYG8X,58,1
122110_5867_00116,36201282024,EPEZH,58,1
186220_4667_00807,28242428,9SIS78,59,1
186220_4667_00807,28242428,7V1D1,59,1
186220_4667_00807,28242428,EPEZH,59,1
251170_5869_00441,4420288,7V1D1,60,1
251170_5869_00441,4420288,EPEZH,60,1
171190_4670_00038,4483620,00N9,61,1
171190_4670_00038,4483620,7V1D1,61,1
171190_4670_00038,4483620,EPEZH,61,1
186220_4667_00156,320024,RTS5,62,1
186220_4667_00156,320024,7V1D1,62,1
186220_4667_00156,320024,EPEZH,62,1
125130_5072_00001,361624283212,7V1D1,63,1
125130_5072_00001,361624283212,EPEZH,63,1
2519130_5669_00124,1236368,7V1D1,64,1
2519130_5669_00124,1236368,EPEZH,64,1
181510_4675_00007,36243283236,FTV4XP,65,1
181510_4675_00007,36243283236,7V1D1,65,1
181510_4675_00007,36243283236,EPEZH,65,1
1819110_5468_00094,41202036,06IYG8X,66,1
1819110_5468_00094,41202036,00N9,66,1
1819110_5468_00094,41202036,EPEZH,66,1
18580_5465_00095,362012321612,7V1D1,67,1
18580_5465_00095,362012321612,EPEZH,67,1
171190_4674_00006,320012,7V1D1,68,1
171190_4674_00006,320012,EPEZH,68,1
239170_5871_00301,4828036,EPEZH,69,1
123130_4672_00082,3212020,7V1D1,70,1
123130_4672_00082,3212020,EPEZH,70,1
1218190_4674_00361,36201224820,7V1D1,71,1
1218190_4674_00361,36201224820,EPEZH,71,1
186220_4669_00059,41220120,FTV4XP,72,1
186220_4669_00059,41220120,7V1D1,72,1
186220_4669_00059,41220120,EPEZH,72,1
171190_4469_00167,3632248,7V1D1,73,1
171190_4469_00167,3632248,EPEZH,73,1
186220_4665_00006,4824288,7V1D1,74,1
186220_4665_00006,4824288,EPEZH,74,1
181510_4475_00201,36162836828,00N9,75,1
181510_4475_00201,36162836828,7V1D1,75,1
181510_4475_00201,36162836828,EPEZH,75,1
186220_4666_00322,36283236,06IYG8X,76,1
186220_4666_00322,36283236,EPEZH,76,1
1218190_4674_00320,362432163624,5HZH1TH,77,1
1218190_4674_00320,362432163624,7V1D1,77,1
1218190_4674_00320,362432163624,EPEZH,77,1
186130_5074_00059,2441216,06IYG8X,78,1
186130_5074_00059,2441216,EPEZH,78,1
186220_4666_00521,4012284,7V1D1,79,1
186220_4666_00521,4012284,EPEZH,79,1
72510_5071_00207,4164328,FTV4XP,80,1
72510_5071_00207,4164328,7V1D1,80,1
72510_5071_00207,4164328,EPEZH,80,1
72510_4868_00013,3636360,00N9,81,1
72510_4868_00013,3636360,7V1D1,81,1
72510_4868_00013,3636360,EPEZH,81,1
181510_4474_00127,403600,7V1D1,82,1
181510_4474_00127,403600,EPEZH,82,1
171190_4469_00217,24281224,00N9,83,1
171190_4469_00217,24281224,7V1D1,83,1
171190_4469_00217,24281224,EPEZH,83,1
1010170_5872_00001,12162028,7V1D1,84,1
1010170_5872_00001,12162028,EPEZH,84,1
186220_4668_00221,160828,7V1D1,85,1
186220_4668_00221,160828,EPEZH,85,1
186220_4667_00872,36362836,7V1D1,86,1
186220_4667_00872,36362836,EPEZH,86,1
623160_5667_00219,36280241236,06IYG8X,87,1
623160_5667_00219,36280241236,EPEZH,87,1
171190_4470_00048,16201232,7V1D1,88,1
171190_4470_00048,16201232,EPEZH,88,1
72510_4871_00093,12323232,00N9,89,1
72510_4871_00093,12323232,7V1D1,89,1
72510_4871_00093,12323232,EPEZH,89,1
1010170_5672_00124,2020200,RTS5,90,1
1010170_5672_00124,2020200,7V1D1,90,1
1010170_5672_00124,2020200,EPEZH,90,1
181510_4675_00178,163600,FTV4XP,91,1
181510_4675_00178,163600,7V1D1,91,1
181510_4675_00178,163600,EPEZH,91,1
171190_4672_00148,3281220,7V1D1,92,1
171190_4672_00148,3281220,EPEZH,92,1
121830_5273_00057,416122032,7V1D1,93,1
121830_5273_00057,416122032,EPEZH,93,1
123130_4672_00115,3620243684,00N9,94,1
123130_4672_00115,3620243684,7V1D1,94,1
123130_4672_00115,3620243684,EPEZH,94,1
122110_5867_00028,3620836164,7V1D1,95,1
122110_5867_00028,3620836164,EPEZH,95,1
186220_4667_00351,416322416,7V1D1,96,1
186220_4667_00351,416322416,EPEZH,96,1
171190_4670_00354,3616284240,06IYG8X,97,1
171190_4670_00354,3616284240,EPEZH,97,1
251170_5870_00135,4820828,7V1D1,98,1
251170_5870_00135,4820828,EPEZH,98,1
186220_4867_00069,41681612,9SIS78,99,1
186220_4867_00069,41681612,RTS5,99,1
186220_4867_00069,41681612,7V1D1,99,1
186220_4867_00069,41681612,EPEZH,99,1
151100_5469_00066,41201236,06IYG8X,100,1
151100_5469_00066,41201236,FTV4XP,100,1
151100_5469_00066,41201236,EPEZH,100,1
1819110_5468_00003,362036122432,06IYG8X,101,1
1819110_5468_00003,362036122432,EPEZH,101,1
1617120_5070_00277,36241228204,RTS5,102,1
1617120_5070_00277,36241228204,9SIS78,102,1
1617120_5070_00277,36241228204,7V1D1,102,1
1617120_5070_00277,36241228204,EPEZH,102,1
121950_4472_00047,32321232,7V1D1,103,1
121950_4472_00047,32321232,EPEZH,103,1
171190_4473_00665,48163628,7V1D1,104,1
171190_4473_00665,48163628,EPEZH,104,1
186220_4668_00376,36282032240,5HZH1TH,105,1
186220_4668_00376,36282032240,7V1D1,105,1
186220_4668_00376,36282032240,EPEZH,105,1
186220_4668_00890,362082404,06IYG8X,106,1
186220_4668_00890,362082404,EPEZH,106,1
2519130_5669_00008,16242012,EPEZH,107,1
181510_4675_00313,3624816368,9SIS78,108,1
181510_4675_00313,3624816368,7V1D1,108,1
181510_4675_00313,3624816368,EPEZH,108,1
01930_4671_00072,1683232,9SIS78,109,1
01930_4671_00072,1683232,7V1D1,109,1
01930_4671_00072,1683232,EPEZH,109,1
186220_4866_00645,36241203220,06IYG8X,110,1
186220_4866_00645,36241203220,EPEZH,110,1
186220_5068_00325,36242012,7V1D1,111,1
186220_5068_00325,36242012,EPEZH,111,1
121610_5266_00098,362812000,5HZH1TH,112,1
121610_5266_00098,362812000,FTV4XP,112,1
121610_5266_00098,362812000,7V1D1,112,1
121610_5266_00098,362812000,EPEZH,112,1
186220_4666_00091,36242024412,06IYG8X,113,1
186220_4666_00091,36242024412,EPEZH,113,1
1617120_5071_00338,36162432812,7V1D1,114,1
1617120_5071_00338,36162432812,EPEZH,114,1
01930_4671_00236,2828360,7V1D1,115,1
01930_4671_00236,2828360,EPEZH,115,1
72510_4669_00109,32282424,7V1D1,116,1
72510_4669_00109,32282424,EPEZH,116,1
171190_4473_00161,3628202844,7V1D1,117,1
171190_4473_00161,3628202844,EPEZH,117,1
122110_6068_00139,1603212,00N9,118,1
122110_6068_00139,1603212,7V1D1,118,1
122110_6068_00139,1603212,EPEZH,118,1
186220_4667_00014,320024,7V1D1,119,1
186220_4667_00014,320024,EPEZH,119,1
186220_4666_00669,3620121240,06IYG8X,120,1
186220_4666_00669,3620121240,EPEZH,120,1
186220_4866_00113,4483216,06IYG8X,121,1
186220_4866_00113,4483216,FTV4XP,121,1
186220_4866_00113,4483216,EPEZH,121,1
186220_4868_00577,4403616,7V1D1,122,1
186220_4868_00577,4403616,EPEZH,122,1
186220_4669_00106,36202432284,7V1D1,123,1
186220_4669_00106,36202432284,EPEZH,123,1
11900_4873_00121,4012416,06IYG8X,124,1
11900_4873_00121,4012416,EPEZH,124,1
186220_4667_00884,321284,7V1D1,125,1
186220_4667_00884,321284,EPEZH,125,1
56170_5670_00006,121248,7V1D1,126,1
56170_5670_00006,121248,EPEZH,126,1
72510_4669_00045,32282424,7V1D1,127,1
72510_4669_00045,32282424,EPEZH,127,1
186220_4668_00658,36200361612,7V1D1,128,1
186220_4668_00658,36200361612,EPEZH,128,1
122110_6067_00151,3624081232,7V1D1,129,1
122110_6067_00151,3624081232,EPEZH,129,1
1323170_4873_00014,32202424,7V1D1,130,1
1323170_4873_00014,32202424,EPEZH,130,1
1217180_5470_00016,2836832,9SIS78,131,1
1217180_5470_00016,2836832,7V1D1,131,1
1217180_5470_00016,2836832,EPEZH,131,1
181510_4474_00112,324028,7V1D1,132,1
181510_4474_00112,324028,EPEZH,132,1
181510_4475_00092,32000,7V1D1,133,1
181510_4475_00092,32000,EPEZH,133,1
11900_4873_00034,36282032428,7V1D1,134,1
11900_4873_00034,36282032428,EPEZH,134,1
171190_4669_00069,324816,7V1D1,135,1
171190_4669_00069,324816,EPEZH,135,1
171190_4671_00037,28322424,7V1D1,136,1
171190_4671_00037,28322424,EPEZH,136,1
810130_5073_00143,416161620,06IYG8X,137,1
810130_5073_00143,416161620,00N9,137,1
810130_5073_00143,416161620,EPEZH,137,1
251170_5870_00267,36163232164,EPEZH,138,1
121610_5267_00099,3620020816,7V1D1,139,1
121610_5267_00099,3620020816,EPEZH,139,1
171190_4470_00409,3612032,7V1D1,140,1
171190_4470_00409,3612032,EPEZH,140,1
121610_5067_00061,362002408,EPEZH,141,1
251170_5670_00146,44203612,7V1D1,142,1
251170_5670_00146,44203612,EPEZH,142,1
186220_5067_00288,48122416,7V1D1,143,1
186220_5067_00288,48122416,EPEZH,143,1
111600_5465_00001,3620020128,RTS5,144,1
111600_5465_00001,3620020128,7V1D1,144,1
111600_5465_00001,3620020128,EPEZH,144,1
1223110_5866_00225,362432163616,06IYG8X,145,1
1223110_5866_00225,362432163616,EPEZH,145,1
186220_4668_00782,1636320,FTV4XP,146,1
186220_4668_00782,1636320,7V1D1,146,1
186220_4668_00782,1636320,EPEZH,146,1
1822160_5075_00010,240288,00N9,147,1
1822160_5075_00010,240288,7V1D1,147,1
1822160_5075_00010,240288,EPEZH,147,1
1617120_5071_00366,4123208,7V1D1,148,1
1617120_5071_00366,4123208,EPEZH,148,1
122110_6068_00084,1601236,7V1D1,149,1
122110_6068_00084,1601236,EPEZH,149,1
1223110_6066_00023,1612164,7V1D1,150,1
1223110_6066_00023,1612164,EPEZH,150,1
1617120_5071_00156,3202816,00N9,151,1
1617120_5071_00156,3202816,7V1D1,151,1
1617120_5071_00156,3202816,EPEZH,151,1
186220_4867_00565,368248,00N9,152,1
186220_4867_00565,368248,7V1D1,152,1
186220_4867_00565,368248,EPEZH,152,1
251170_5670_00078,362443244,7V1D1,153,1
251170_5670_00078,362443244,EPEZH,153,1
186220_5068_00048,36200321624,06IYG8X,154,1
186220_5068_00048,36200321624,EPEZH,154,1
72510_5070_00065,40088,00N9,155,1
72510_5070_00065,40088,7V1D1,155,1
72510_5070_00065,40088,EPEZH,155,1
01930_5071_00033,16322836,9SIS78,156,1
01930_5071_00033,16322836,7V1D1,156,1
01930_5071_00033,16322836,EPEZH,156,1
01930_4871_00010,4028364,7V1D1,157,1
01930_4871_00010,4028364,EPEZH,157,1
186220_4669_00094,36242824,06IYG8X,158,1
186220_4669_00094,36242824,EPEZH,158,1
186220_5066_00064,36163283228,7V1D1,159,1
186220_5066_00064,36163283228,EPEZH,159,1
171190_4470_00449,3624081232,7V1D1,160,1
171190_4470_00449,3624081232,EPEZH,160,1
122110_5868_00060,362416242816,7V1D1,161,1
122110_5868_00060,362416242816,EPEZH,161,1
01930_4671_00077,1612124,7V1D1,162,1
01930_4671_00077,1612124,EPEZH,162,1
186220_5068_00115,2832820,00N9,163,1
186220_5068_00115,2832820,7V1D1,163,1
186220_5068_00115,2832820,EPEZH,163,1
186220_4667_00902,416163212,06IYG8X,164,1
186220_4667_00902,416163212,EPEZH,164,1
1819110_5468_00069,4082428,06IYG8X,165,1
1819110_5468_00069,4082428,EPEZH,165,1
186220_4666_00360,28323236,7V1D1,166,1
186220_4666_00360,28323236,EPEZH,166,1
36110_4468_00083,321604,FTV4XP,167,1
36110_4468_00083,321604,7V1D1,167,1
36110_4468_00083,321604,EPEZH,167,1
171190_4473_00372,41212360,7V1D1,168,1
171190_4473_00372,41212360,EPEZH,168,1
1218190_4675_00161,361616323632,7V1D1,169,1
1218190_4675_00161,361616323632,EPEZH,169,1
186220_4667_00117,362482044,7V1D1,170,1
186220_4667_00117,362482044,EPEZH,170,1
186220_4668_00471,28202012,7V1D1,171,1
186220_4668_00471,28202012,EPEZH,171,1
186220_4866_00183,361632808,06IYG8X,172,1
186220_4866_00183,361632808,EPEZH,172,1
186220_4867_00627,1642836,8AEAE,173,1
186220_4867_00627,1642836,7V1D1,173,1
186220_4867_00627,1642836,EPEZH,173,1
1218190_4674_00373,416123636,7V1D1,174,1
1218190_4674_00373,416123636,EPEZH,174,1
1223110_5866_00044,16363636,8AEAE,175,1
1223110_5866_00044,16363636,7V1D1,175,1
1223110_5866_00044,16363636,EPEZH,175,1
171190_4470_01042,36161632120,06IYG8X,176,1
171190_4470_01042,36161632120,EPEZH,176,1
186220_5067_00235,28283612,8AEAE,177,1
186220_5067_00235,28283612,7V1D1,177,1
186220_5067_00235,28283612,EPEZH,177,1
01930_5072_00097,36281612,7V1D1,178,1
01930_5072_00097,36281612,EPEZH,178,1
171190_4473_00353,36202812,FTV4XP,179,1
171190_4473_00353,36202812,7V1D1,179,1
171190_4473_00353,36202812,EPEZH,179,1
1223110_5865_00020,3624202884,FTV4XP,180,1
1223110_5865_00020,3624202884,7V1D1,180,1
1223110_5865_00020,3624202884,EPEZH,180,1
171190_4671_00093,4012016,06IYG8X,181,1
171190_4671_00093,4012016,EPEZH,181,1
01930_4872_00117,4168324,FTV4XP,182,1
01930_4872_00117,4168324,7V1D1,182,1
01930_4872_00117,4168324,EPEZH,182,1
251170_6070_00218,12323612,00N9,183,1
251170_6070_00218,12323612,7V1D1,183,1
251170_6070_00218,12323612,EPEZH,183,1
186220_5068_00211,168364,EPEZH,184,1
171190_4472_00888,416362024,00N9,185,1
171190_4472_00888,416362024,7V1D1,185,1
171190_4472_00888,416362024,EPEZH,185,1
1223110_6065_00028,16161624,EPEZH,186,1
1218190_4674_00298,3628836364,5HZH1TH,187,1
1218190_4674_00298,3628836364,7V1D1,187,1
1218190_4674_00298,3628836364,EPEZH,187,1
1218190_4675_00144,280820,06IYG8X,188,1
1218190_4675_00144,280820,00N9,188,1
1218190_4675_00144,280820,EPEZH,188,1
251170_5870_00688,1236240,06IYG8X,189,1
251170_5870_00688,1236240,EPEZH,189,1
186220_4866_00332,3612200244,7V1D1,190,1
186220_4866_00332,3612200244,EPEZH,190,1
186220_4669_00042,480012,7V1D1,191,1
186220_4669_00042,480012,EPEZH,191,1
186220_4668_00178,36281203632,7V1D1,192,1
186220_4668_00178,36281203632,EPEZH,192,1
72510_4869_00259,32122028,00N9,193,1
72510_4869_00259,32122028,7V1D1,193,1
72510_4869_00259,32122028,EPEZH,193,1
186220_4666_00514,4043612,06IYG8X,194,1
186220_4666_00514,4043612,EPEZH,194,1
251170_5870_00252,4843212,7V1D1,195,1
251170_5870_00252,4843212,EPEZH,195,1
186220_4867_00466,32283212,EPEZH,196,1
12510_5666_00037,16283620,7V1D1,197,1
12510_5666_00037,16283620,EPEZH,197,1
623160_5667_00138,3628208436,7V1D1,198,1
623160_5667_00138,3628208436,EPEZH,198,1
181510_4674_00027,360412,7V1D1,199,1
181510_4674_00027,360412,EPEZH,199,1
181510_4675_00077,40243224,7V1D1,200,1
181510_4675_00077,40243224,EPEZH,200,1
161330_5066_00060,3224328,7V1D1,201,1
161330_5066_00060,3224328,EPEZH,201,1
1223110_5865_00022,3624202884,FTV4XP,202,1
1223110_5865_00022,3624202884,7V1D1,202,1
1223110_5865_00022,3624202884,EPEZH,202,1
186220_4669_00014,3220168,00N9,203,1
186220_4669_00014,3220168,7V1D1,203,1
186220_4669_00014,3220168,EPEZH,203,1
122110_5868_00034,16201212,7V1D1,204,1
122110_5868_00034,16201212,EPEZH,204,1
1223110_6066_00044,48242428,00N9,205,1
1223110_6066_00044,48242428,7V1D1,205,1
1223110_6066_00044,48242428,EPEZH,205,1
171190_4672_00064,16121220,7V1D1,206,1
171190_4672_00064,16121220,EPEZH,206,1
251170_5869_00469,41228828,7V1D1,207,1
251170_5869_00469,41228828,EPEZH,207,1
1223110_6066_00031,36242043612,7V1D1,208,1
1223110_6066_00031,36242043612,EPEZH,208,1
171190_4672_00150,362424201216,EPEZH,209,1
122110_6070_00121,1220248,7V1D1,210,1
122110_6070_00121,1220248,EPEZH,210,1
171190_4470_00003,3616424240,06IYG8X,211,1
171190_4470_00003,3616424240,EPEZH,211,1
122110_6068_00046,1601236,7V1D1,212,1
122110_6068_00046,1601236,EPEZH,212,1
123130_4671_00170,3628481236,7V1D1,213,1
123130_4671_00170,3628481236,EPEZH,213,1
186220_4668_00413,362844824,5HZH1TH,214,1
186220_4668_00413,362844824,7V1D1,214,1
186220_4668_00413,362844824,EPEZH,214,1
181510_4475_00296,324028,7V1D1,215,1
181510_4475_00296,324028,EPEZH,215,1
171190_4471_00047,368324,7V1D1,216,1
171190_4471_00047,368324,EPEZH,216,1
1218190_4675_00057,24161236,7V1D1,217,1
1218190_4675_00057,24161236,EPEZH,217,1
251170_6070_00155,3620016328,06IYG8X,218,1
251170_6070_00155,3620016328,EPEZH,218,1
18580_5465_00107,3216320,FTV4XP,219,1
18580_5465_00107,3216320,7V1D1,219,1
18580_5465_00107,3216320,EPEZH,219,1
1617120_5069_00029,40322816,7V1D1,220,1
1617120_5069_00029,40322816,EPEZH,220,1
181510_4875_00007,36243283236,7V1D1,221,1
181510_4875_00007,36243283236,EPEZH,221,1
186220_4868_00496,3624432,7V1D1,222,1
186220_4868_00496,3624432,EPEZH,222,1
186220_4866_00097,362420203612,5HZH1TH,223,1
186220_4866_00097,362420203612,00N9,223,1
186220_4866_00097,362420203612,7V1D1,223,1
186220_4866_00097,362420203612,EPEZH,223,1
72510_4869_00387,412323216,EPEZH,224,1
121610_5266_00112,36241283616,5HZH1TH,225,1
121610_5266_00112,36241283616,06IYG8X,225,1
121610_5266_00112,36241283616,EPEZH,225,1
171190_4670_00365,361616161616,7V1D1,226,1
171190_4670_00365,361616161616,EPEZH,226,1
186220_4667_00159,361628880,00N9,227,1
186220_4667_00159,361628880,7V1D1,227,1
186220_4667_00159,361628880,EPEZH,227,1
121610_5267_00038,28282432,7V1D1,228,1
121610_5267_00038,28282432,EPEZH,228,1
72510_4869_00306,322084,7V1D1,229,1
72510_4869_00306,322084,EPEZH,229,1
810130_5074_00286,36162412124,06IYG8X,230,1
810130_5074_00286,36162412124,EPEZH,230,1
171190_4672_00070,4124168,7V1D1,231,1
171190_4672_00070,4124168,EPEZH,231,1
186220_4669_00087,32201632,EPEZH,232,1
171190_4669_00034,416163612,00N9,233,1
171190_4669_00034,416163612,7V1D1,233,1
171190_4669_00034,416163612,EPEZH,233,1
122110_6070_00134,3612812240,06IYG8X,234,1
122110_6070_00134,3612812240,00N9,234,1
122110_6070_00134,3612812240,EPEZH,234,1
1218190_4673_00148,3241216,7V1D1,235,1
1218190_4673_00148,3241216,EPEZH,235,1
186220_4866_00004,1602432,8AEAE,236,1
186220_4866_00004,1602432,7V1D1,236,1
186220_4866_00004,1602432,EPEZH,236,1
72510_5069_00250,36162420820,EPEZH,237,1
186220_4666_00087,1236360,7V1D1,238,1
186220_4666_00087,1236360,EPEZH,238,1
181510_4675_00168,1682824,7V1D1,239,1
181510_4675_00168,1682824,EPEZH,239,1
239170_5871_00305,1232832,7V1D1,240,1
239170_5871_00305,1232832,EPEZH,240,1
72510_4869_00196,3228416,06IYG8X,241,1
72510_4869_00196,3228416,EPEZH,241,1
186220_4868_00225,416123212,FTV4XP,242,1
186220_4868_00225,416123212,7V1D1,242,1
186220_4868_00225,416123212,EPEZH,242,1
186220_4866_00057,28361236,7V1D1,243,1
186220_4866_00057,28361236,EPEZH,243,1
251170_5870_00550,1232832,7V1D1,244,1
251170_5870_00550,1232832,EPEZH,244,1
186220_5067_00001,2836824,7V1D1,245,1
186220_5067_00001,2836824,EPEZH,245,1
186220_5068_00345,3632016,06IYG8X,246,1
186220_5068_00345,3632016,EPEZH,246,1
186220_4867_00029,3616362480,7V1D1,247,1
186220_4867_00029,3616362480,EPEZH,247,1
01930_5071_00072,41282412,FTV4XP,248,1
01930_5071_00072,41282412,7V1D1,248,1
01930_5071_00072,41282412,EPEZH,248,1
72510_4868_00032,28283628,7V1D1,249,1
72510_4868_00032,28283628,EPEZH,249,1
186220_4669_00128,42001224,7V1D1,250,1
186220_4669_00128,42001224,EPEZH,250,1
186220_4668_00198,2012160,7V1D1,251,1
186220_4668_00198,2012160,EPEZH,251,1
1223110_5867_00225,3624843612,9SIS78,252,1
1223110_5867_00225,3624843612,7V1D1,252,1
1223110_5867_00225,3624843612,EPEZH,252,1
2519130_5668_00051,1212328,7V1D1,253,1
2519130_5668_00051,1212328,EPEZH,253,1
72510_5070_00016,36280362024,5HZH1TH,254,1
72510_5070_00016,36280362024,7V1D1,254,1
72510_5070_00016,36280362024,EPEZH,254,1
2519130_5668_00018,12323216,00N9,255,1
2519130_5668_00018,12323216,7V1D1,255,1
2519130_5668_00018,12323216,EPEZH,255,1
186220_4467_00137,36161624320,06IYG8X,256,1
186220_4467_00137,36161624320,EPEZH,256,1
72510_4870_00357,361282080,7V1D1,257,1
72510_4870_00357,361282080,EPEZH,257,1
123130_4672_00106,3616168120,06IYG8X,258,1
123130_4672_00106,3616168120,EPEZH,258,1
186220_4667_00316,3224428,7V1D1,259,1
186220_4667_00316,3224428,EPEZH,259,1
171190_4473_00504,361628363216,00N9,260,1
171190_4473_00504,361628363216,7V1D1,260,1
171190_4473_00504,361628363216,EPEZH,260,1
181510_4875_00009,3612248,RTS5,261,1
